,mu,xaxis,yaxis,colors
268,-0.2,-3.3,70,#9D6C97
621,0.701,-3.201,77,#9DC3E6
236,-0.3,-3.2,78,#9D6C97
589,0.604,-3.104,85,#9DC3E6
204,-0.4,-3.1,88,#9D6C97
557,0.504,-3.004,92,#9DC3E6
172,-0.501,-2.999,98,#9D6C97
525,0.403,-2.903,104,#9DC3E6
140,-0.6,-2.9,106,#9D6C97
493,0.301,-2.801,130,#9DC3E6
108,-0.7,-2.8,125,#9D6C97
461,0.208,-2.708,236,#9DC3E6
76,-0.8,-2.7,226,#9D6C97
429,0.103,-2.603,938,#9DC3E6
44,-0.903,-2.597,900,#9D6C97
718,1.007,-2.5069999999999997,2256,#9DD9C5
397,0.003,-2.503,2198,#9DC3E6
365,0.001,-2.501,2241,#9DC3E6
12,-1.0,-2.5,2059,#9D6C97
333,-0.002,-2.498,2277,#9DC3E6
686,0.9,-2.4,3989,#9DD9C5
301,-0.102,-2.398,3906,#9DC3E6
654,0.806,-2.306,5829,#9DD9C5
269,-0.2,-2.3,5773,#9DC3E6
622,0.701,-2.201,8178,#9DD9C5
237,-0.3,-2.2,7990,#9DC3E6
590,0.604,-2.104,10587,#9DD9C5
205,-0.4,-2.1,10473,#9DC3E6
558,0.504,-2.004,13202,#9DD9C5
173,-0.501,-1.999,13120,#9DC3E6
526,0.403,-1.903,16053,#9DD9C5
141,-0.6,-1.9,15857,#9DC3E6
494,0.301,-1.801,19041,#9DD9C5
109,-0.7,-1.8,18771,#9DC3E6
462,0.208,-1.708,21817,#9DD9C5
77,-0.8,-1.7,21686,#9DC3E6
430,0.103,-1.603,24331,#9DD9C5
45,-0.903,-1.597,24214,#9DC3E6
719,1.007,-1.507,26405,#9D6C97
398,0.003,-1.503,26175,#9DD9C5
366,0.001,-1.501,26226,#9DD9C5
13,-1.0,-1.5,25972,#9DC3E6
334,-0.002,-1.498,26284,#9DD9C5
687,0.9,-1.4,28019,#9D6C97
302,-0.102,-1.398,27793,#9DD9C5
655,0.806,-1.306,29317,#9D6C97
270,-0.2,-1.3,29088,#9DD9C5
623,0.701,-1.201,30617,#9D6C97
238,-0.3,-1.2,30297,#9DD9C5
591,0.604,-1.104,31663,#9D6C97
206,-0.4,-1.1,31369,#9DD9C5
559,0.504,-1.004,32579,#9D6C97
174,-0.501,-0.999,32265,#9DD9C5
527,0.403,-0.903,33428,#9D6C97
142,-0.6,-0.9,33070,#9DD9C5
495,0.301,-0.8009999999999999,34140,#9D6C97
110,-0.7,-0.8,33740,#9DD9C5
463,0.208,-0.708,34725,#9D6C97
78,-0.8,-0.7,34349,#9DD9C5
431,0.103,-0.603,35263,#9D6C97
46,-0.903,-0.597,34883,#9DD9C5
720,1.007,-0.5069999999999999,35487,#9DC3E6
399,0.003,-0.503,35547,#9D6C97
367,0.001,-0.501,35677,#9D6C97
14,-1.0,-0.5,35244,#9DD9C5
335,-0.002,-0.498,35600,#9D6C97
688,0.9,-0.4,35766,#9DC3E6
303,-0.102,-0.398,35884,#9D6C97
656,0.806,-0.30600000000000005,35958,#9DC3E6
271,-0.2,-0.3,36085,#9D6C97
624,0.701,-0.20099999999999996,36085,#9DC3E6
239,-0.3,-0.2,36210,#9D6C97
592,0.604,-0.10399999999999998,36155,#9DC3E6
207,-0.4,-0.09999999999999998,36291,#9D6C97
560,0.504,-0.0040000000000000036,36109,#9DC3E6
175,-0.501,0.0010000000000000009,36213,#9D6C97
528,0.403,0.09699999999999998,36011,#9DC3E6
143,-0.6,0.09999999999999998,36115,#9D6C97
496,0.301,0.199,35828,#9DC3E6
111,-0.7,0.19999999999999996,35943,#9D6C97
464,0.208,0.29200000000000004,35621,#9DC3E6
79,-0.8,0.30000000000000004,35747,#9D6C97
432,0.103,0.397,35337,#9DC3E6
47,-0.903,0.403,35454,#9D6C97
721,1.007,0.4930000000000001,34880,#9DD9C5
400,0.003,0.497,34937,#9DC3E6
368,0.001,0.499,34953,#9DC3E6
15,-1.0,0.5,35083,#9D6C97
336,-0.002,0.502,34937,#9DC3E6
689,0.9,0.6,34428,#9DD9C5
304,-0.102,0.602,34515,#9DC3E6
657,0.806,0.694,33930,#9DD9C5
272,-0.2,0.7,33981,#9DC3E6
625,0.701,0.799,33256,#9DD9C5
240,-0.3,0.8,33349,#9DC3E6
593,0.604,0.896,32526,#9DD9C5
208,-0.4,0.9,32577,#9DC3E6
561,0.504,0.996,31672,#9DD9C5
176,-0.501,1.001,31703,#9DC3E6
529,0.403,1.097,30699,#9DD9C5
144,-0.6,1.1,30739,#9DC3E6
497,0.301,1.199,29567,#9DD9C5
112,-0.7,1.2,29620,#9DC3E6
465,0.208,1.292,28398,#9DD9C5
80,-0.8,1.3,28381,#9DC3E6
433,0.103,1.397,27031,#9DD9C5
48,-0.903,1.403,26986,#9DC3E6
722,1.007,1.493,25323,#9D6C97
401,0.003,1.497,25562,#9DD9C5
369,0.001,1.499,25566,#9DD9C5
16,-1.0,1.5,25609,#9DC3E6
337,-0.002,1.502,25488,#9DD9C5
690,0.9,1.6,23609,#9D6C97
305,-0.102,1.602,23849,#9DD9C5
658,0.806,1.694,21652,#9D6C97
273,-0.2,1.7,21850,#9DD9C5
626,0.701,1.799,18795,#9D6C97
241,-0.3,1.8,19146,#9DD9C5
594,0.604,1.896,16089,#9D6C97
209,-0.4,1.9,16298,#9DD9C5
562,0.504,1.996,13445,#9D6C97
177,-0.501,2.001,13574,#9DD9C5
530,0.403,2.097,10881,#9D6C97
145,-0.6,2.1,11073,#9DD9C5
498,0.301,2.199,8484,#9D6C97
113,-0.7,2.2,8686,#9DD9C5
466,0.208,2.292,6437,#9D6C97
81,-0.8,2.3,6497,#9DD9C5
434,0.103,2.397,4439,#9D6C97
49,-0.903,2.403,4480,#9DD9C5
723,1.007,2.4930000000000003,2686,#9DC3E6
402,0.003,2.497,2754,#9D6C97
370,0.001,2.499,2730,#9D6C97
17,-1.0,2.5,2893,#9DD9C5
338,-0.002,2.502,2675,#9D6C97
691,0.9,2.6,1252,#9DC3E6
306,-0.102,2.602,1317,#9D6C97
659,0.806,2.694,388,#9DC3E6
274,-0.2,2.7,408,#9D6C97
627,0.701,2.799,156,#9DC3E6
242,-0.3,2.8,160,#9D6C97
595,0.604,2.896,130,#9DC3E6
210,-0.4,2.9,129,#9D6C97
563,0.504,2.996,113,#9DC3E6
178,-0.501,3.001,109,#9D6C97
531,0.403,3.097,101,#9DC3E6
146,-0.6,3.1,99,#9D6C97
499,0.301,3.199,92,#9DC3E6
114,-0.7,3.2,90,#9D6C97
467,0.208,3.292,82,#9DC3E6
82,-0.8,3.3,82,#9D6C97
435,0.103,3.397,78,#9DC3E6
50,-0.903,3.403,75,#9D6C97
724,1.007,3.4930000000000003,75,#9DD9C5
403,0.003,3.497,74,#9DC3E6
371,0.001,3.499,76,#9DC3E6
18,-1.0,3.5,74,#9D6C97
339,-0.002,3.502,70,#9DC3E6
692,0.9,3.6,69,#9DD9C5
307,-0.102,3.602,69,#9DC3E6
660,0.806,3.694,62,#9DD9C5
275,-0.2,3.7,64,#9DC3E6
628,0.701,3.799,58,#9DD9C5
243,-0.3,3.8,61,#9DC3E6
596,0.604,3.896,54,#9DD9C5
211,-0.4,3.9,56,#9DC3E6
564,0.504,3.996,51,#9DD9C5
179,-0.501,4.001,51,#9DC3E6
532,0.403,4.0969999999999995,47,#9DD9C5
147,-0.6,4.1,48,#9DC3E6
500,0.301,4.199,45,#9DD9C5
115,-0.7,4.2,46,#9DC3E6
468,0.208,4.292,41,#9DD9C5
83,-0.8,4.3,42,#9DC3E6
436,0.103,4.397,41,#9DD9C5
51,-0.903,4.4030000000000005,41,#9DC3E6
725,1.007,4.493,34,#9D6C97
404,0.003,4.497,36,#9DD9C5
372,0.001,4.499,37,#9DD9C5
19,-1.0,4.5,40,#9DC3E6
340,-0.002,4.502,34,#9DD9C5
693,0.9,4.6,34,#9D6C97
308,-0.102,4.602,34,#9DD9C5
661,0.806,4.694,29,#9D6C97
276,-0.2,4.7,28,#9DD9C5
629,0.701,4.799,29,#9D6C97
244,-0.3,4.8,29,#9DD9C5
597,0.604,4.896,27,#9D6C97
212,-0.4,4.9,27,#9DD9C5
565,0.504,4.996,27,#9D6C97
180,-0.501,5.001,24,#9DD9C5
